statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
힐스테이트 신검단 센트럴아파트,PL033118,50,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716094550,20260715123223,20260716094550,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,51,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716080321,20260715220148,20260716080321,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,52,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716083030,20260715181746,20260716083030,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,53,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260715093610,20260713091841,20260715093610,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,54,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,3,20260716014832,20260716014832,20260714102118,20260716014832,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,55,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,3,20260715200309,20260715200309,20260715045943,20260715200309,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,56,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716090856,20260715202535,20260716090856,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,57,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716050326,20260715223651,20260716050326,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
운서역 금강펜테리움,PL033134,00,02,인천광역시 영종구 영종대로277번길 47-10,운서역 금강펜테리움,"지하 1층 1001동 옆, 1003동 옆, 1004동 옆, 1005동 앞, 1006동 앞",37.4901071,126.5033170,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,3,20260715172409,20260715172409,20260715172356,20260715172409,,7,단독,28,28155,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2025,1,B,에바
운서역 금강펜테리움,PL033134,01,02,인천광역시 영종구 영종대로277번길 47-10,운서역 금강펜테리움,"지하 1층 1001동 옆, 1003동 옆, 1004동 옆, 1005동 앞, 1006동 앞",37.4901071,126.5033170,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,3,20260715170627,20260715170627,20260715074029,20260715170627,,7,단독,28,28155,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2025,1,B,에바
운서역 금강펜테리움,PL033134,02,02,인천광역시 영종구 영종대로277번길 47-10,운서역 금강펜테리움,"지하 1층 1001동 옆, 1003동 옆, 1004동 옆, 1005동 앞, 1006동 앞",37.4901071,126.5033170,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260715083220,20260715075434,20260715083220,,,7,단독,28,28155,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2025,1,B,에바
운서역 금강펜테리움,PL033134,03,02,인천광역시 영종구 영종대로277번길 47-10,운서역 금강펜테리움,"지하 1층 1001동 옆, 1003동 옆, 1004동 옆, 1005동 앞, 1006동 앞",37.4901071,126.5033170,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,3,20260715190508,20260715190508,20260715080310,20260715190508,,7,단독,28,28155,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2025,1,B,에바
운서역 금강펜테리움,PL033134,04,02,인천광역시 영종구 영종대로277번길 47-10,운서역 금강펜테리움,"지하 1층 1001동 옆, 1003동 옆, 1004동 옆, 1005동 앞, 1006동 앞",37.4901071,126.5033170,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,3,20260715182906,20260715182906,20260715081411,20260715182906,,7,단독,28,28155,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2025,1,B,에바
