statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker,charger_uid,coordinate_missing,coordinate_outlier,district_by_code,district_from_address,district_address_normalized,district_mismatch,is_deleted,is_limited,is_active_record,usable_for_spatial_analysis,district_before_correction,lat_before_correction,lng_before_correction,district_corrected,coordinate_corrected,correction_reason,district_final,coordinate_missing_final,coordinate_outlier_final,usable_for_district_analysis,usable_for_spatial_analysis_final,publicly_accessible,boundary_base_date,district_2024,district_code_2024,geometry_fixed,boundary_match_status
송도더샵그린스퀘어 T12기둥,IM000208,1,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G23기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 23:36:29,2026-07-15 18:43:01,2026-07-15 23:35:01,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000208_01,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000208,2,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G23기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-13 06:33:28,2026-07-12 22:35:44,2026-07-13 06:31:54,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000208_02,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000208,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G23기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 19:30:50,2026-07-15 18:23:12,2026-07-15 19:32:26,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000208_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 G16기둥,IM000209,1,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G25기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-14 00:18:45,2026-07-13 18:52:03,2026-07-14 00:19:49,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000209_01,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 G16기둥,IM000209,2,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G25기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-16 03:18:29,2026-07-15 19:02:31,2026-07-16 03:17:04,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000209_02,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 G16기둥,IM000209,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G25기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 20:12:52,2026-07-15 15:49:42,2026-07-15 20:10:45,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000209_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 G16기둥,IM000210,1,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 H25기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 22:33:30,2026-07-15 18:35:07,2026-07-15 22:32:37,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000210_01,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 G16기둥,IM000210,2,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 H25기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 03:03:29,2026-07-14 22:12:27,2026-07-15 03:01:58,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000210_02,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 G16기둥,IM000210,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 H25기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 22:33:30,2026-07-15 18:01:41,2026-07-15 22:32:52,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000210_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 G16기둥,IM000210,4,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 H25기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 20:54:47,2026-07-15 18:05:55,2026-07-15 20:54:02,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000210_04,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
