station_id,station_name,district_2024,latitude,longitude,charger_count,public_charger_count,nearest_station_distance_m,representative_address
PI320379,인천시 중구 샤프도앤코코리아,중구,37.483594276,126.4522409,5,5,229.16,인천광역시 영종구 공항동로465번길 84 본관뒤 지상1층
ICIA0012,인천공항 T2 택시대기장,중구,37.486794,126.409702,20,0,225.89,인천광역시 영종구 운서동 3234-1 주차장 진입 후 오른쪽
ICIA0073,인천공항 T2 주차대행 주차장 2,중구,37.48513,126.40823,31,31,225.89,인천광역시 영종구 운서동 3233-53 주차장 진입 후 왼쪽
ME25A224,강화군 남부노인문화센터,강화군,37.6432001,126.487202,2,2,223.88,인천광역시 강화군 길상면 온수리 767
CU320028,월미공원사업소(월미2주차장),중구,37.4695126,126.599527,5,5,221.67,인천광역시 제물포구 월미로 374 인천 중구 북성동1가 1가 102-11 월미2주차장
EBIHS001,인천해사고등학교,중구,37.468233,126.601452,2,2,221.67,인천광역시 제물포구 월미로 338 인천해사고등학교
ICIA0024,인천공항 북측 화물터미널(우) 4,중구,37.47409,126.468448,20,20,221.63,인천광역시 영종구 운서동 3246-58 FedEx 창고 옆 / 북측화물터미널 입구 오른쪽
EZ001033,펜션썸,강화군,37.6021158,126.3993219,1,1,220.4,인천광역시 강화군 화도면 해안남로 2131 전주 부근
PI320055,인천시 강화군 저어새팬션,강화군,37.60145552,126.4016765,2,2,220.4,인천광역시 강화군 화도면 해안남로 2099 주차장
KP002074,마니산국민관광지,강화군,37.6324582684,126.4237957331,1,1,219.1,인천광역시 강화군 화도면 마니산로675번길 18
ME25A446,마니산 주차장,강화군,37.6344168,126.4241119,4,4,219.1,인천광역시 강화군 화도면 상방리 362-1
PW012819,도림벽산블루밍아파트입주자대표회의,남동구,37.421015692,126.72869223,5,0,215.47,인천광역시 남동구 도림로 8
NT101257,강화 경기장(강화아시아드BMX경기장),강화군,37.756343663,126.47073538,3,3,215.05,인천광역시 강화군 강화읍 강화대로 600 지상주차장(강화아시아드BMX경기장 주차면)
HY001582,인천 송도파크자이,연수구,37.409967,126.657724,26,0,213.96,"인천광역시 연수구 앵고개로104번길 22 지하1층 주차창-706동 앞(12기), 706동 옆(6기), 707동 앞(3기), 708동 앞(5기)"
ST600326,공항철도 계양역,계양구,37.5716094,126.7360234,5,5,212.08,인천광역시 계양구 다남로 24 주차장 출입구 옆
EC280113,계양역 공영주차장 (급),계양구,37.570542619,126.73801613,4,4,212.08,인천광역시 계양구 다남로 24
KP005184,갑곳 제1공영주차장,강화군,37.73644,126.50596,1,1,212.04,인천광역시 강화군 강화읍 강화대로 205
PI646003,인천시 남동구 삼포화학공업,남동구,37.3908132,126.696602,1,1,210.57,인천광역시 남동구 남동동로64번길 41 지상1층 정문 출하대기옆
IM000122,삼성바이오로직스 P4 주차타워 1,연수구,37.366102,126.660769,8,0,208.95,인천광역시 연수구 송도바이오대로 300 P4주차타워
EZ200265,JK루체스타/㈜원중기업,남동구,37.4152599,126.7048395,4,4,205.2,인천광역시 남동구 남동대로 353
GS000123,광역만석주유소,동구,37.4874435,126.622243,2,2,202.92,인천광역시 제물포구 인중로 441 GS칼텍스 광역만석주유소
EV013914,인천서구 사회복지법인 백세재단 청라백세마을,서구,37.5291094,126.6100343,3,3,202.01,인천광역시 서해구 로봇랜드로249번길 14 병원출입구 좌측 지상주차장
PK000150,더월드교통 송도버스 공영차고지,연수구,37.3712259,126.6379687,8,0,201.93,인천광역시 연수구 아카데미로51번길 42
PI320260,인천시 서구 북청라하우스토리,서구,37.5556412,126.6518274,10,0,201.34,"인천광역시 서해구 경서로31번길 15 지상1층 주출입구옆 5m(#011~#041), 103동 1-2라인앞 지하2층(#051~#091, 급속)"
EV014240,인천서구 수도권매립지관리공사 4,서구,37.57888898,126.64825507,5,5,199.23,인천광역시 검단구 자원순환로 170 승마장 지상주차장
LI000344,제물포교통,서구,37.5806574,126.6486462,5,0,199.23,인천광역시 검단구 거월로 39
PI751165,강화군농업기술센터,강화군,37.704168074,126.4364707,2,0,198.65,인천광역시 강화군 불은면 중앙로 742-2 강화군농업기술센터
KP005634,농업기술센터,강화군,37.7033,126.4345,1,1,198.65,인천광역시 강화군 불은면 중앙로 742-2
JA280060,인천 송도 셀트리온 제3공장,연수구,37.3729123,126.6388263,5,0,198.43,인천광역시 연수구 아카데미로51번길 20 셀트리온 제3공장
ICIA0087,인천공항 T2 GSE 248 (A/S),중구,37.4651526,126.4315562,2,0,195.08,인천광역시 영종구 제2터미널대로 446 브릿지 하단
ICIA0086,인천공항 T2 GSE 231 (A/S),중구,37.4659129,126.4335451,2,0,195.08,인천광역시 영종구 제2터미널대로 446 브릿지 하단
ME19Y259,장경리주차장,옹진군,37.272469,126.453835,2,2,192.26,인천광역시 옹진군 영흥면 영흥로 723
KP003739,장경리공영주차장,옹진군,37.2725,126.451667,1,1,192.26,인천광역시 옹진군 영흥면 영흥로 741 주차장
CA000104,화개정원 제2공영주차장,강화군,37.783473247,126.2903871,2,2,190.15,인천광역시 강화군 교동면 교동동로471번길 6-62 공영주차장
KP005186,화개산 공영주차장,강화군,37.78381,126.28827,1,1,190.15,인천광역시 강화군 교동면 교동동로471번길 20-48
NT101206,송도 하나요양병원,미추홀구,37.43989893,126.63559689,1,1,189.12,인천광역시 미추홀구 아암대로253번길 36 지상주차장(장례원입구 맞은편 주차면)
KP002555,용유동사무소,중구,37.4439014672,126.4024362227,1,1,186.17,인천광역시 영종구 마시란로 308-13
CU320021,인천로봇랜드,서구,37.5197183,126.610932,9,9,184.05,인천광역시 서해구 로봇랜드로 155-11 인천로봇랜드
KL002813,씨어스_인천테크노파크로봇RD센터,서구,37.52134,126.61137,1,0,184.05,인천광역시 서해구 청라동 100-51 로봇랜드 로봇연구소 주차장
PI320332,인천시 강화군 금풍플라자,강화군,37.637390347,126.49431412,2,2,177.79,인천광역시 강화군 길상면 길상로 294 건물전면 진입로 우측 주차공간
EO000200,강화남부농협,강화군,37.6389895,126.4944405,2,2,177.79,인천광역시 강화군 길상면 길상로 298 (온수리592-27)
EV016066,인천강화 강화현대아파트,강화군,37.737902,126.5075096,4,0,175.58,인천광역시 강화군 강화읍 강화대로 191-14 (강화현대아파트) 102동 지상주차장
ME25A113,강화읍 갑곳 제1공영주차장,강화군,37.7393849,126.5068141,1,1,175.58,인천광역시 강화군 강화읍 갑곳리 643
PI752385,일신풍림아파트B,부평구,37.482139668,126.74459158,7,0,171.85,"인천광역시 부평구 일신로14번길 23 (일신동, 일신풍림아파트) 104동 B2층 바로 좌회전/좌회전_3M_벽면, B2층 106동 우측 중간부분 벽면(휀룸 옆), B2층 109동 휀룸 옆"
PL000815,유영아파트,서구,37.4844748,126.6885,3,0,170.82,인천광역시 서해구 여우재로75번길 3
UN000128,강화도 원두막가든(7kW),강화군,37.6337254,126.4921712,1,1,170.73,인천광역시 강화군 길상면 전등사로 60 지상주차장
ST600329,공항철도 영종역,중구,37.511900172,126.52252347,4,4,170.6,인천광역시 영종구 백운로414번길 75 좌측 주차장 좌측 주차장 진입 후 좌측 끝
PI320061,인천시 강화군 베이사이드카페,강화군,37.70503709,126.3662764,2,2,166.69,인천광역시 강화군 내가면 해안서로 1027 주차장
ME21B1D3,강화군국민체육센터,강화군,37.7538053,126.4698464,1,1,166.15,인천광역시 강화군 강화읍 강화대로 591
ME19A263,월미도 공영주차장,중구,37.475313602,126.60174262,2,2,165.11,인천광역시 제물포구 반달로 20
CU320027,월미공원사업소(월미1주차장),중구,37.4766588,126.602541,5,5,165.11,인천광역시 제물포구 월미로 131-50 월미1주차장
ME25A139,양사면 교산리 공영주차장,강화군,37.798412,126.4067982,1,1,164.77,인천광역시 강화군 양사면 전망대로 1392
ME20A1b8,양사면사무소,강화군,37.79818044,126.40864674,1,1,164.77,인천광역시 강화군 양사면 전망대로 1391
ME25A427,길상면 온수리 공영주차장,강화군,37.6352132,126.4916778,4,4,160.92,인천광역시 강화군 길상면 온수리 622-33
PC000755,장원 가경 (인천),강화군,37.6352037,126.4935015,2,2,160.92,인천광역시 강화군 길상면 전등사로 76-4 1층 옥외 주차장
KP000264,강화지사,강화군,37.742941,126.497996,3,2,160.79,인천광역시 강화군 강화읍 강화대로 278
ST287103,현대자동차 블루핸즈 강화점,강화군,37.7414919,126.4979896,1,1,160.79,인천광역시 강화군 강화읍 강화대로 286-1 전기차 충전소
